extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,source_cell,item_number,evidence_type,category_raw,technology_raw,resolution_status
XT000011,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,direct_technology,11,DIRECT,AI Transformation / AX Consulting,확인된 비즈니스 효과 사례 (LG전자: 기업 내부 정형데이터 자연어 분석 적용 후 자료상 업무 생산성 30% 이상 향상),unresolved
XT000012,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,indirect_technology,1,INDIRECT,AI Transformation / AX Consulting,AX Readiness Assessment (도입 전 기업 현황·준비도를 진단하는 단계와 밀접하나 자료에 명칭은 없음),unresolved
XT000013,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,indirect_technology,2,INDIRECT,AI Transformation / AX Consulting,PoC/Pilot (기업 규모·도입 목적에 맞춘 단계적 검증과 밀접하나 메인페이지에는 직접 명시되지 않음),unresolved
XT000014,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,indirect_technology,3,INDIRECT,AI Transformation / AX Consulting,Change Management (기술 도입 후 현업 정착·교육과 밀접하나 구체 방법론은 자료에 없음),unresolved
XT000015,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,indirect_technology,4,INDIRECT,AI Transformation / AX Consulting,KPI/ROI Measurement (비즈니스 성과를 확인하기 위한 지표 관리와 밀접하나 구체 지표는 자료에 없음),unresolved
XT000016,SRC001,1,3,305d1f1492f53a431ec0951ff3379e77d3b8f9732de2586943af5bed8273717b,indirect_technology,5,INDIRECT,AI Transformation / AX Consulting,"Enterprise Architecture Layering (성취 자료에서 7개 역할층이 관찰됨: 데이터 수집, 저장·통합, 분석 기반, BI, AI, 사용자 서비스, 업무 자동화)",unresolved
XT000017,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,1,DIRECT,AI / LLM Engineering,"LLM (OpenAI API, OpenAI LLM, RAG, Agentic RAG, Prompt Engineering, 질문 전처리, 응답 후처리, Parameter Tuning, Token, Latency)",unresolved
XT000018,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,2,DIRECT,AI / LLM Engineering,"OpenAI API (LLM 연동, Prompt 구조 설계, 응답 최적화, Token·Latency 고려)",unresolved
XT000019,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,3,DIRECT,AI / LLM Engineering,"OpenAI LLM (Teams AI 챗봇, 사내 문서 Q\&A, 미국 주식 차트 분석)",unresolved
XT000020,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,4,DIRECT,AI / LLM Engineering,"RAG (문서 검색, 검색 엔진, LangChain, LlamaIndex, Qdrant, Vector DB, Prompt Engineering)",unresolved
XT000021,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,5,DIRECT,AI / LLM Engineering,"Agentic RAG (RAG, 멀티스텝 추론, 문서 검색)",unresolved
XT000022,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,6,DIRECT,AI / LLM Engineering,"Microsoft Azure OpenAI (Azure 기반 생성형 AI 연계, 기업 Data/AI 환경, Data Platform과의 연결 가능)",unresolved
XT000023,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,7,DIRECT,AI / LLM Engineering,"GPT-4 (기아: 방대한 사내 자료 검색용 챗봇, Microsoft Teams 내 제공, 시나리오 기준 답변 정확도 80% 이상 향상)",unresolved
XT000024,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,8,DIRECT,AI / LLM Engineering,Private GPT (삼성물산·동국시스템즈: Azure 보안환경 내부 통합 GPT),unresolved
XT000025,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,9,DIRECT,AI / LLM Engineering,Azure OpenAI + BXG (자연어 질문 → 의도 파악 → DB/Table/Column 선별 → Query → 전처리 → 계산·분석 → 자연어 답변·그래프),unresolved
XT000026,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,10,DIRECT,AI / LLM Engineering,"기업 정형데이터 자연어 분석 (DRB동일·HL만도·성우하이텍·흥아·SJG세종·CTR 계열, 이마트24, LG전자 사례)",unresolved
XT000027,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,11,DIRECT,AI / LLM Engineering,"확인 효과 (데이터 엔지니어 의존 감소, 분석시간 단축, 비IT 현업 데이터 활용 증가; LG전자 업무 생산성 30% 이상 향상)",unresolved
XT000028,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,12,DIRECT,AI / LLM Engineering,"Azure OpenAI / GPT-4 실제 활용 기능·업무 (자연어 이해, 질의응답, 문서검색, 답변 생성, 출처 기반 정보탐색; 사내 지식검색·문서검색·업무지원·기업데이터 질의)",unresolved
XT000029,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,direct_technology,13,DIRECT,AI / LLM Engineering,"문서·지식 검색형 확인 효과 (검색시간 감소, 정보 접근성 향상, 자료 통합, 업무효율 향상)",unresolved
XT000030,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,1,INDIRECT,AI / LLM Engineering,Embedding Model (RAG·Vector DB에서 문서와 Query를 Vector화하기 위해 필요),unresolved
XT000031,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,2,INDIRECT,AI / LLM Engineering,Context Management (검색 문서와 질문을 LLM 입력으로 결합해야 함),unresolved
XT000032,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,3,INDIRECT,AI / LLM Engineering,LLM Evaluation (자료에서 응답 정확도·품질 개선을 반복하므로 비교 평가 필요),unresolved
XT000033,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,4,INDIRECT,AI / LLM Engineering,Enterprise Grounding (기업 Data Platform의 데이터를 생성형 AI에 안전하고 일관되게 연결하는 구조와 밀접하나 구체 구현은 자료에 없음),unresolved
XT000034,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,5,INDIRECT,AI / LLM Engineering,Schema Linking / Text-to-Query (BXG에서 Table·Column 선별 후 Query하는 구조와 밀접하지만 구체 구현방식·언어는 자료에 명시되지 않음),unresolved
XT000035,SRC001,2,4,62a2e485390e5b1a9cefed6f2f98218d1073169ef7ec12b33d0a1dfeabc8a4a2,indirect_technology,6,INDIRECT,AI / LLM Engineering,Source Citation/Grounding (문서검색형에서 출처 기반 정보탐색·필요 시 출처 제공이 확인됨),unresolved
XT000036,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,1,DIRECT,Information Retrieval / Search Engineering,"검색 엔진 (RAG 챗봇, 문서 검색, 질문 전처리, 검색 정확도)",unresolved
XT000037,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,2,DIRECT,Information Retrieval / Search Engineering,"Vector Database (Qdrant, RAG, 검색 정확도)",unresolved
XT000038,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,3,DIRECT,Information Retrieval / Search Engineering,"Qdrant (Vector DB, LangChain, LlamaIndex, RAG)",unresolved
XT000039,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,4,DIRECT,Information Retrieval / Search Engineering,"문서 검색 (RAG, 사용자 질문, Q\&A)",unresolved
XT000040,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,5,DIRECT,Information Retrieval / Search Engineering,"검색 정확도 개선 (LangChain, LlamaIndex, Qdrant, 질문 Reformatting)",unresolved
XT000041,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,6,DIRECT,Information Retrieval / Search Engineering,"출처 기반 문서·지식 검색 (Azure OpenAI/GPT-4, 사내 문서·자료 검색, 필요한 정보 신속 탐색)",unresolved
XT000042,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,7,DIRECT,Information Retrieval / Search Engineering,Private 통합 GPT의 기업 내부 검색,unresolved
XT000043,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,8,DIRECT,Information Retrieval / Search Engineering,Brain Portal AI 기반 검색·요약 및 데이터 관련 문의 채널 통합 (SK텔레콤),unresolved
XT000044,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,direct_technology,9,DIRECT,Information Retrieval / Search Engineering,"확인 효과 (검색시간·탐색비용 감소, 정보 접근성 향상, 자료 통합, 업무효율 향상)",unresolved
XT000045,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,1,INDIRECT,Information Retrieval / Search Engineering,Document Chunking (긴 문서를 검색 가능한 단위로 분할해야 함),unresolved
XT000046,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,2,INDIRECT,Information Retrieval / Search Engineering,Document Parsing (문서를 검색 가능한 텍스트/구조로 변환해야 함),unresolved
XT000047,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,3,INDIRECT,Information Retrieval / Search Engineering,Similarity Search (Qdrant Vector 검색의 직접적인 검색 메커니즘),unresolved
XT000048,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,4,INDIRECT,Information Retrieval / Search Engineering,Top-k Retrieval (검색 결과 중 LLM에 전달할 관련 문서를 선별해야 함),unresolved
XT000049,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,5,INDIRECT,Information Retrieval / Search Engineering,Metadata Filtering (문서 범위를 제한해 검색 정확도를 높이는 데 밀접),unresolved
XT000050,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,6,INDIRECT,Information Retrieval / Search Engineering,Source Attribution (검색 결과의 근거·출처를 사용자에게 제시하는 계층과 직접 연결),unresolved
XT000051,SRC001,3,5,e52e9633e532e750b345ff870be564a9429304fb99e30fdc541e8380fe360b04,indirect_technology,7,INDIRECT,Information Retrieval / Search Engineering,Enterprise Search Federation (Brain Portal의 데이터 문의 채널 통합·AI 검색과 밀접하나 구체 검색엔진 구조는 자료에 없음),unresolved
XT000052,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,1,DIRECT,Prompt Engineering,"Prompt Engineering (LLM, RAG, 출력 품질, Parameter Tuning)",unresolved
XT000053,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,2,DIRECT,Prompt Engineering,"Prompt 구조 설계 (OpenAI API, 비즈니스 요구, 응답 최적화)",unresolved
XT000054,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,3,DIRECT,Prompt Engineering,"질문 전처리 (GPT, 문서 검색, 검색 정확도)",unresolved
XT000055,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,4,DIRECT,Prompt Engineering,"질문 Reformatting (모호·비정형 질문, GPT, 검색 정확도)",unresolved
XT000056,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,5,DIRECT,Prompt Engineering,"LLM 응답 후처리 (출력 품질, 사용자 응답)",unresolved
XT000057,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,6,DIRECT,Prompt Engineering,"Parameter Tuning (정확도, 응답 품질)",unresolved
XT000058,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,7,DIRECT,Prompt Engineering,"BXG의 자연어 질문 의도 파악 단계 (DB/Table/Column 선택 및 Query 이전 단계는 직접 확인되나, 해당 단계가 Prompt Engineering으로 구현됐는지는 자료에서 특정되지 않음)",unresolved
XT000059,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,direct_technology,8,DIRECT,Prompt Engineering,문서검색형·정형데이터 분석형 처리로 이어지는 질의 해석 흐름 (처리 흐름은 직접 확인되나 Prompt 기반 분기 구현 여부는 미특정),unresolved
XT000060,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,indirect_technology,1,INDIRECT,Prompt Engineering,Prompt Template (반복 가능한 Prompt 구조 관리에 필요),unresolved
XT000061,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,indirect_technology,2,INDIRECT,Prompt Engineering,Structured Output (LLM 결과를 Backend·자동화에 안정적으로 전달하기 위해 밀접),unresolved
XT000062,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,indirect_technology,3,INDIRECT,Prompt Engineering,Evaluation Dataset (Prompt 변경 전후 품질 비교에 필요),unresolved
XT000063,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,indirect_technology,4,INDIRECT,Prompt Engineering,Token Counting (자료에서 Token을 직접 고려 대상으로 명시),unresolved
XT000064,SRC001,4,6,cb5dec44f1fd593075f76e18285311912001847ee493a00a30578c1d5e70a99e,indirect_technology,5,INDIRECT,Prompt Engineering,Intent Classification (질문 의도를 처리경로에 연결하는 구조와 밀접; Brain Portal에는 요청 유형 자동분류가 직접 확인되나 LLM Prompt 구현 여부는 자료에 없음),unresolved
XT000065,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,1,DIRECT,Machine Learning,"Machine Learning (AI 솔루션 개발, 모델 개발, 향후 교육)",unresolved
XT000066,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,2,DIRECT,Machine Learning,"AI Model Development (머신러닝, 딥러닝, 데이터 엔지니어링)",unresolved
XT000067,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,3,DIRECT,Machine Learning,"Model Optimization (MLflow, AI 모델, 성능)",unresolved
XT000068,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,4,DIRECT,Machine Learning,"Model Deployment (MLflow, AI 모델, Databricks/Spark 데이터 처리)",unresolved
XT000069,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,5,DIRECT,Machine Learning,Azure Machine Learning / Azure ML (대덕전자 생산수율 예측),unresolved
XT000070,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,6,DIRECT,Machine Learning,생산 데이터 기반 영향 인자 분석·변수 간 연관도 분석·생산수율 예측,unresolved
XT000071,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,7,DIRECT,Machine Learning,기존 경험·수기 중심 예측의 데이터화 및 예측 정확성 향상,unresolved
XT000072,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,direct_technology,8,DIRECT,Machine Learning,예측 결과의 BI/업무 적용,unresolved
XT000073,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,indirect_technology,1,INDIRECT,Machine Learning,Train/Validation/Test Split (모델 개발·최적화 시 성능 검증 필요),unresolved
XT000074,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,indirect_technology,2,INDIRECT,Machine Learning,Evaluation Metrics (최적화 여부 판단 필요),unresolved
XT000075,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,indirect_technology,3,INDIRECT,Machine Learning,Feature/Data Preprocessing (모델 입력 데이터 준비에 직접 연결),unresolved
XT000076,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,indirect_technology,4,INDIRECT,Machine Learning,Hyperparameter Tuning (모델 최적화와 밀접),unresolved
XT000077,SRC001,5,7,4eb4e577419af07b420a5feffe18b6dd8911631df018768282044e93987aee65,indirect_technology,5,INDIRECT,Machine Learning,"Feature Importance/Correlation Analysis (자료에서 영향 인자·변수 연관도 분석이 직접 확인되며, 구체 알고리즘은 명시되지 않음)",unresolved
XT000078,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,direct_technology,1,DIRECT,Deep Learning,"Deep Learning (AI 기술, Computer Vision, 이상 탐지)",unresolved
XT000079,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,direct_technology,2,DIRECT,Deep Learning,"딥러닝 모델 개발 (Computer Vision, 이상 탐지, AI 모델 개발)",unresolved
XT000080,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,direct_technology,3,DIRECT,Deep Learning,"Model Optimization (MLflow, 배포)",unresolved
XT000081,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,indirect_technology,1,INDIRECT,Deep Learning,GPU Computing (딥러닝 학습·추론과 밀접하나 자료에는 Hardware가 명시되지 않음),unresolved
XT000082,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,indirect_technology,2,INDIRECT,Deep Learning,Inference (개발된 모델을 실제 배포 환경에서 실행해야 함),unresolved
XT000083,SRC001,6,8,fcdcb0414a831f43e9ba26777c23063bc1fc4dcefda38b5fcbc4127ac506f3fd,indirect_technology,3,INDIRECT,Deep Learning,Model Evaluation Metric (모델 최적화 판단에 필요),unresolved
XT000084,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,1,DIRECT,Generative AI,"생성형 AI (AI 솔루션 개발, 백엔드 개발)",unresolved
XT000085,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,2,DIRECT,Generative AI,"LLM (OpenAI, RAG, Prompt Engineering)",unresolved
XT000086,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,3,DIRECT,Generative AI,Copilot Studio (대화형 AI/Power Platform),unresolved
XT000087,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,4,DIRECT,Generative AI,PVA (대화형 Bot),unresolved
XT000088,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,5,DIRECT,Generative AI,"Microsoft Azure OpenAI (생성형 AI 연계, Azure 기반 기업용 AI 환경)",unresolved
XT000089,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,6,DIRECT,Generative AI,"Data-connected Generative AI (AI를 위한 데이터 환경 통합 설계, Data Platform과 생성형 AI 연결)",unresolved
XT000090,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,7,DIRECT,Generative AI,"Generative BI (생성형 AI 기반 분석, 자연어로 Insight 도출)",unresolved
XT000091,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,8,DIRECT,Generative AI,GPT-4 기반 문서·지식 검색형 생성 AI (기아 Teams 챗봇),unresolved
XT000092,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,9,DIRECT,Generative AI,Azure 보안환경 Private GPT (삼성물산·동국시스템즈),unresolved
XT000093,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,10,DIRECT,Generative AI,Azure OpenAI + BXG 정형데이터 분석형 생성 AI (자연어 질문을 DB Query·분석·답변·그래프로 연결),unresolved
XT000094,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,11,DIRECT,Generative AI,기업 데이터 질의응답·사내 통합 GPT·문서검색 챗봇,unresolved
XT000095,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,direct_technology,12,DIRECT,Generative AI,LG전자 정형데이터 자연어 분석 업무 생산성 30% 이상 향상,unresolved
XT000096,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,indirect_technology,1,INDIRECT,Generative AI,Guardrails (기업용 생성형 AI 출력 제어와 밀접),unresolved
XT000097,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,indirect_technology,2,INDIRECT,Generative AI,Structured Generation (업무 시스템과 생성 결과를 연결할 때 필요),unresolved
XT000098,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,indirect_technology,3,INDIRECT,Generative AI,Enterprise AI Governance (기업용 생성형 AI의 사용 정책·출력 통제와 밀접하나 구체 정책은 자료에 없음),unresolved
XT000099,SRC001,7,9,4dfcf2767bbd0dc8970cb6b99b09a1d0c240fbdab5140442ad40254855933663,indirect_technology,4,INDIRECT,Generative AI,Private AI Deployment Pattern (Azure 보안환경 내부에서 기업 전용 GPT를 운영하는 배치·접근통제 패턴과 밀접하나 상세 Network/Endpoint 구성은 자료에 없음),unresolved
XT000100,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,1,DIRECT,BI / Generative BI,Microsoft Power BI (Data & AI Platform의 BI/시각화 축),unresolved
XT000101,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,2,DIRECT,BI / Generative BI,Generative BI (생성형 AI 기반 직관적 분석 환경),unresolved
XT000102,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,3,DIRECT,BI / Generative BI,자연어 기반 Insight 도출 (사용자가 자연어로 분석 결과를 빠르게 획득),unresolved
XT000103,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,4,DIRECT,BI / Generative BI,Data Visualization (Data Platform의 수집·분석 이후 시각화),unresolved
XT000104,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,5,DIRECT,BI / Generative BI,Data-driven Decision Making (누구나 쉽게 활용 가능한 BI로 의사결정 가속),unresolved
XT000105,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,6,DIRECT,BI / Generative BI,"Microsoft Fabric 연계 Data/BI 환경 (메인페이지의 Data Platform 축에서 직접 제시되며, Multi-Cloud는 개별 Fabric 속성이 아니라 회사의 환경 제공 맥락)",unresolved
XT000106,SRC001,8,10,50d46f0e4656554b2e358a37f0d3355b59405a41cfcd17d4bbd7c2b7e6837329,direct_technology,7,DIRECT,BI / Generative BI,"Power BI (Excel·PPT 수작업 보고를 자동 Dashboard로 전환, Dashboard·KPI·시각화·Drill-down·Self-Service BI·예측결과 표현)",unresolved
