extract_record_id,source_id,source_row_number,source_line_number,source_row_sha256,category_raw,flow_cell_raw,architecture_layer_resolution_status
XA00011,SRC001,11,13,6bd088bf8809df34af2ddf58545bf34617d85483890f7a9968375c8fb11f5d94,Computer Vision,이미지/시각 데이터 → Deep Learning 기반 CV Model → 이상 탐지 → Model Optimization → Deployment,unresolved
XA00012,SRC001,12,14,9fcc8c226e87fa6cb2348741b5031cdf71f7c48e14f76fa0b39dc88177363271,Anomaly Detection,데이터 처리 → CV/DL Model → 이상 여부 분석 → 모델 최적화 → 실제 시스템 배포,unresolved
XA00013,SRC001,13,15,65583d1704c11b52c3fdb1de9188d487bb8fb73edc29fed2a83b3751e4437a4c,Data Engineering,기존 원본 흐름: 데이터 Source → Loading → Transformation → Filtering → Aggregation → SQL 처리 → AI Model/Analytics에 전달  <br>  <br>통합 확장 흐름: 데이터 Source → 수집/Loading → Transformation → Filtering → Aggregation → SQL/Spark 처리 → Databricks·Snowflake·Microsoft Fabric 등 Data Platform → 실시간 분석·Power BI/Generative BI·AI Model/Generative AI에 전달  <br>  <br>ERP/MES/CRM/POS/SAP/HR/Excel/Legacy DB → ADF 또는 SSIS로 Extract/수집·이동 → Transform/ETL·ELT → Data Lake Gen2/Azure SQL/Cosmos DB 저장·통합 → Synapse/Data Mart/SSAS/Analysis Service 분석 구조 → Power BI/Brain Portal/Azure ML/Azure OpenAI에 공급,unresolved
XA00014,SRC001,14,16,9fcd2307a200da6a6bac26a05e26e11cf1a867faea02878c87438b6517d932b6,Data Integration / ETL,"원천 시스템 → Extract/수집 → ADF 또는 SSIS → Transform/정제·통합 → Load → Data Lake Gen2/Azure SQL/Cosmos DB → Synapse/SSAS/Analysis Service/Data Mart → BI/AI  <br>  <br>자료상 사례 패턴: 기존 Microsoft On-Premise SSIS 계열에서 Cloud ADF 계열로 확장되는 경향이 관찰되나, 개별 고객의 직접 마이그레이션 사실로 단정하지 않음",unresolved
XA00015,SRC001,15,17,c3c78d7d3c440fe505950d0f39fdae8fd93de02b19ac935203937f5954cfdd28,Data Storage / Database,ADF/SSIS로 수집된 데이터 → Data Lake Gen2/Azure SQL/Cosmos DB에 저장·통합 → 필요 데이터 Query/제공 → Synapse/SSAS/Analysis Service/Data Mart 분석 → Power BI/Azure ML/Azure OpenAI·BXG/Brain Portal 사용,unresolved
XA00016,SRC001,16,18,e9676d187f031a00bf053e17a3617f48b6c19ed79dbe63184de9fe9c9abee57e,Data Platform / Analytics Infrastructure,기업 Data Source → Multi-Cloud Infrastructure → Databricks/Snowflake/Microsoft Fabric 등 Data Platform → 데이터 수집·처리·분석 → Data Governance/보안 고려 → 실시간 분석·시각화 → Power BI/Generative BI 또는 Microsoft Azure OpenAI/AI Model → 전사 활용 및 AX  <br>  <br>업무 시스템/원천 데이터 → ADF/SSIS Integration → Data Lake Gen2/Azure SQL/Cosmos DB 저장·통합 → Synapse/Data Warehouse/Data Mart/SSAS/Analysis Service → Power BI/Brain Portal/Azure ML/Azure OpenAI·BXG → Portal/Teams/업무자동화,unresolved
XA00017,SRC001,17,19,51f4dc86105a58e68c65edc4a554484dedcbbe782420fcff7378953c568ed2ca,Semantic Modeling / OLAP,Raw Data → 정제/통합 → SSAS/Azure Analysis Service 또는 Data Mart → Semantic Model·Measure/KPI·집계 → Power BI/Embedded BI → 사용자 Drill-down·다차원 분석,unresolved
XA00018,SRC001,18,20,475442311c1a710164a5be800880c07c003d73eeabca979e52c718d5dd4fa6f0,Data Governance,Data Source → Data Platform 수집·저장·처리 → Governance 기준/통제 적용 → 데이터 정합성·권한/접근 통제 → 실시간 Analytics/BI/AI 활용 → 로그·운영관리 → 확장  <br>  <br>데이터 수집·통합 → 정합성 확보 → 사용자/조직·계층 권한 설정 → Report/Content 사전검토·배포 → 사용자별/Embedded BI 접근 → 로그·운영관리 → BI/AI 서비스 신뢰성 유지,unresolved
XA00019,SRC001,19,21,38f1b8ccaa08e13bc08ad644f771188ea18be3a02888a19ad223a609708559e1,Distributed Computing,기존 원본 흐름: 대규모 데이터 → Partition된 분산 처리 → Spark Cluster 실행 → Memory 사용 → 병목 분석 → 분산 구조·Memory 최적화 → 처리 성능 개선  <br>  <br>통합 확장 흐름: 대규모 데이터 → Partition된 분산 처리 → Spark/Databricks Cluster 실행 → Memory·Compute Resource 사용 → 병목 분석 → 분산 구조·Memory 최적화 → Data Platform/Analytics 처리 성능 개선,unresolved
XA00020,SRC001,20,22,3d648ae691de36cbd1ed0f237a9862f94f2873df59ef580c2f0426e3e03ef93d,Backend Engineering,사용자/시스템 Request → Backend API → 비동기 처리 → AI/DB/외부 서비스 호출 → 결과 가공 → Response  <br>  <br>AI/BI Request → Backend/Query 계층 → Azure SQL DB/Cosmos DB 또는 기업 DB 조회 → 데이터 전처리·분석 → Azure OpenAI/BXG·Power BI/Portal에 결과 전달,unresolved
XA00021,SRC001,21,23,a6bdefe307f661cdbdee243bb546b89601d1b4559e55828726eb9b43900029cb,Async Programming,Request 수신 → 비동기 Task 생성 → AI/API/I/O 대기 중 다른 작업 처리 → 결과 회수 → Response,unresolved
XA00022,SRC001,22,24,16ab70af2b6f279b6c819a7868fd3a51fa872987d64fd3d9d4c759d35db29cdc,Cloud Engineering,기존 원본 흐름: 개발된 Backend/AI Model → Cloud 환경 구성 → 자동 배포 → Serverless/Server 환경 실행 → 운영  <br>  <br>통합 확장 흐름: 개발된 Backend/AI Model 및 Data/BI 요구 → Azure/AWS/Multi-Cloud 환경 구성 → Databricks·Snowflake·Microsoft Fabric 등 Data Platform 연결 → Microsoft Azure OpenAI/BI/업무 서비스 연계 → 자동 배포·Serverless/Server 환경 실행 → 운영  <br>  <br>On-Premise/Legacy·업무 Data → Azure Data Platform/Cloud ERP로 전환·연결 → Data/AI/BI 서비스 구성 → Power Platform·Portal·Teams 등 사용자/업무 서비스 확장 → 운영효율·확장성 향상,unresolved
XA00023,SRC001,23,25,28d00293fcdc1669acbe9c991627b3cd23812dd20456020bdf3d8053d855aed6,ERP Cloud Transformation,국내 맞춤형 On-Premise ERP → RISE with SAP + Azure Cloud ERP → 글로벌 표준 Process → Power Apps/Power Automate 등 현장 업무 디지털화 → Azure Data/AI/BI 서비스 확장 → 운영효율 향상,unresolved
XA00024,SRC001,24,26,3050fcf5efe4ca467267a44aaabbb5012cf693c161be6609b77481a56e9edf09,Cloud Operations / Technical Support,Cloud/Data/AI 서비스 운영 → 상태/장애 발생 또는 지원 요청 → 전담 기술지원·실시간 대응 → 문제 해결/안정화 → 정기 운영 리포트 → 사용량·비용 분석 → 비용 최적화/절감 Consulting → 고객 맞춤 후속 지원·교육  <br>  <br>Cloud ERP/Data Platform 운영 → 정기 데이터 Integration·서비스 제공 → 운영 효율 확인 → 기존 전담 기술지원·운영 리포트·비용 최적화 체계와 연결,unresolved
XA00025,SRC001,25,27,a65c32935cba527f1fc271c831c0a2f00e9e9a8ddd5826b1999f013b5044ea57,MLOps,Model 개발 → 실험·최적화 → MLflow 관리 → 최적 Model 선정 → Deployment → Serving/운영,unresolved
XA00026,SRC001,26,28,3fd0d510d7ed9e709d67af2e04ab64697ba85ac3d77efd8fc6bcefc18bcef0d8,DevOps / CI/CD,개발 → Branch 분리 → 실험 기능 구현 → Code Review → Branch 통합 → CI/CD Pipeline → Cloud 배포,unresolved
XA00027,SRC001,27,29,f953c0a3f86476d4d89b75000786395b8afaf7bba6063b39e34f4cf47bfaa9b7,Workflow Automation,기존 원본 흐름: Data/업무 Event → 자동 Trigger → 데이터 수집 → 필요한 변환/AI 처리 → Workflow → Teams/사용자에게 결과 전달  <br>  <br>통합 확장 흐름: 현업 업무 요구/Data·업무 Event → Power Platform/Power Automate Trigger → 데이터 수집 → 필요한 변환/AI 처리 → Workflow 및 Low-code App 연계 → Teams/사용자에게 결과 전달 → 반복 업무 자동화 및 AX 적용 확대  <br>  <br>보고/현장 Event → Power Apps 입력 또는 업무 Data → Power Automate Trigger → 반복 처리·승인 Workflow → 결과/상태 전달 → 필요 시 Power BI 분석·Portal/Teams 통지 → 현업 업무 완료,unresolved
XA00028,SRC001,28,30,d21300a7565dd0deb02b67a8468b2b035488e47104e61d08250c05fcf8c10668,Enterprise Integration,기존 원본 흐름: 사내/외부 Data Source → Backend/Automation → 필요 시 AI 처리 → Teams Interface → 직원 사용  <br>  <br>통합 확장 흐름: 사내/외부 Data Source → Data Platform/사내 DB → Backend/Automation → 필요 시 AI·Microsoft Azure OpenAI 처리 → Power BI/Generative BI·Power Platform·Teams Interface → 현업 사용자/의사결정  <br>  <br>업무 시스템/DB/문서 → ADF/SSIS Integration → Data Platform → BI/AI → Brain Portal·Embedded BI·Teams·Mobile → Power Apps/Power Automate 업무 실행 → 조직/외부사용자 활용,unresolved
XA00029,SRC001,29,31,249cb7fcefa25d7d5b5cadd312cab410972f4c0075194d5c0d45442426b30bdc,Low-code Development,기존 원본 흐름: 업무 요구사항 → Low-code 적용 → Power Apps/Mendix Application 구성 → Workflow·AI·Custom 기능 연결 → 업무 시스템 제공  <br>  <br>통합 확장 흐름: 현업/비즈니스 요구사항 → Low-code 적용 → Power Apps/Mendix Application 구성 → Power Automate Workflow·AI·Custom 기능 연결 → 빠른 구현/검증 → 업무 시스템 제공 → AX 전환 확대  <br>  <br>현업 업무 요구/HSE·보고·승인 Process → Power Apps Low-Code UI/App → Power Automate Workflow/승인 → 필요 시 ERP·Data Platform·Power BI와 연동 → 현장 사용자 사용 → 프로세스 개선,unresolved
XA00030,SRC001,30,32,47143bb97529590707566b1c7efe3b6043881f16c10c32c1317cbcf31a0ec607,Custom Low-code Extension,Power Apps 기본 기능 → 기본 Component로 해결 불가능한 요구 → PCF Custom Component 개발 → Power Apps에 적용,unresolved
XA00031,SRC001,31,33,d3e199d8af60648884764932bf9aba53a4515c42b2a992a96585f3e0c882cb8f,Conversational Application,사용자 대화 입력 → 질문/Topic 처리 → AI 또는 Workflow/Backend 실행 → 응답 생성 → Chat Interface 제공  <br>  <br>사용자 자연어 입력 → Teams/Private GPT/AI Interface → 문서 검색 또는 DB 분석형 처리 → GPT/Azure OpenAI 응답·그래프 → 사용자에게 업무환경 안에서 제공,unresolved
XA00032,SRC001,32,34,cd7863549f9ee7df53b5b135614c8c30269516e797e2fcdfe23f06a2cabfa5bc,Mixed Reality,현실 환경 → HoloLens/MR → 현실 공간과 Virtual Content 결합 → Text·Image·3D 배치 → MR Solution에서 사용자에게 제공,unresolved
XA00033,SRC001,33,35,7ddff378b5734a3fe4091d3b07a891a824c53342f148171911eaee03af213ccd,Spatial Content,Digital Asset 준비 → Text/Image/3D Model 배치 → 현실 공간과 결합 → MR Content → 사용자 Interaction,unresolved
XA00034,SRC001,34,36,01da724b81790644d11328ee37c3aa5bc44dee3e56376efa7f15de38496278ca,Performance Engineering,기존 원본 흐름: 측정 대상 정의 → 검색/AI/Backend/Data Processing 성능 측정 → 병목 확인 → Prompt/Retrieval/Code/Memory/Resource 구조 개선 → 재측정  <br>  <br>통합 확장 흐름: 측정 대상 정의 → 검색/AI/Backend/Data Processing 및 실시간 Analytics 성능 측정 → 병목 확인 → Prompt/Retrieval/Code/Memory/Resource 구조 개선 → 재측정  <br>  <br>분석/검색/사용자 규모 요구 확인 → Semantic Model·집계/BI 구조 또는 AI Query 처리 → 응답속도·탐색시간·동시 사용자 처리 관점 측정 → 병목 개선 → 시스템 응답성·분석 적시성 향상,unresolved
XA00035,SRC001,35,37,a0df864f2edd08930c619478219524d7a35618ae2a3d9575f1469b4ccd59bfe7,Cost Optimization,성능 문제 → 무조건 Hardware 증설하지 않음 → Spark/Memory/분산처리 구조 분석 → Resource 최적화 → 필요한 Cluster 수준 최소화 → 운영비 절감  <br>  <br>Cloud/Data/AI 운영 비용 확인 → 정기 운영 리포트/Cost Monitoring → 사용량·Resource 구조 분석 → Resource Right-sizing/최적화 → 비용 절감 Consulting → 지속적 비용 최적화,unresolved
XA00036,SRC001,36,38,fd7cf9006122cbf596c5f56f17d261227d731ebef9004cb3806d10af44e83820,Technical R\&D,신규 기술/논문/Library 탐색 → 실험 → 별도 Branch/기능 Test → 성능·적합성 확인 → 실제 기능 반영 → 내부 기술 문서화,unresolved
XA00037,SRC001,37,39,1e601a6b9f7a3a5b4dbcfec03a8ea23c22488417b568fd84d1ed1ce75c592dbf,Technical Education,기존 원본 흐름: 실제 프로젝트 문제 경험 → 필요한 기술·최적화 전략 정리 → 원리 설명 → 실습 구성 → 개발부터 배포까지 과정화 → 교육 콘텐츠 제공  <br>  <br>통합 확장 흐름: 실제 프로젝트 문제 경험/도입 목적 파악 → 필요한 기술·최적화 전략 정리 → 원리 설명 → 정기 Open Session 또는 고객사 맞춤 Hands-on 실습 구성 → 개발부터 배포·운영 활용까지 과정화 → 교육 콘텐츠 제공 → 현업 적용 → 도입 후 지속 지원,unresolved
XA00038,SRC001,38,40,ae19b581008872ab3803184797dae3b238f1c77e32577c8ad4dc6ff7810f8089,User-centered / Iterative Development,기존 원본 흐름: 사용자 업무 관찰 → 반복·불편 지점 발견 → 기능 개발 → 실제 사용 → 사용자 반응/운영 문제 관찰 → 개발자가 개선 → 재배포  <br>  <br>통합 확장 흐름: 기업 규모·도입 목적/사용자 업무 관찰 → 반복·불편/의사결정 요구 발견 → 비즈니스 맞춤형 Data·AI·BI/Low-code 설계 → 빠른 구현 → 실제 사용 → 사용자 반응/운영 문제 관찰 → 개발자/컨설턴트 개선 → 교육·지원 → 재배포/확대  <br>  <br>사용자 역할/업무·권한 파악 → 사용자가 익숙한 Teams/Portal/업무시스템/Mobile/Power Apps Interface에 BI·AI 제공 → Self-Service 질의·Drill-down·업무처리 → 사용성과 접근성 향상 → Feedback 기반 개선·확대,unresolved
XA00039,SRC001,39,41,8ce6b28860dfac722b1281f1fee87e1c5dd56e8e5777c11477e47bb59eab5694,Reliability / Human-error Prevention,기존 원본 흐름: 반복적·판단 불필요 업무 식별 → 사람이 하던 절차를 시스템화 → 자동 실행 → 누락/실수 감소  <br>  <br>통합 확장 흐름: 반복적·판단 불필요 업무 식별 → 시스템화/자동 실행 → 누락·실수 감소 + 운영 상태/장애 감지 → 전담 기술지원·실시간 대응 → 복구/재발 방지 → 운영 안정성 유지  <br>  <br>수동 수집/보고/업무 절차 → ADF/Power BI/Power Platform 자동화 → 데이터 정합성·오류/누락 감소 → Brain Portal 사전검토·로그·권한 통제 → 안정적 데이터/업무 서비스,unresolved
XA00040,SRC001,40,42,072d6b1bda463a134d2a336092dd0d8ebae1ff919e165351337c38d607854b78,Privacy / Enterprise Security / Data Handling,기업/사내 Data 환경 설계 → 보안 요구 고려 → 사내 Data 조회 → 업무에 필요한 데이터 선별 → 불필요한 개인정보 제거 → 최소화된 결과 생성 → Teams 전달(기존 휴가 자동화 사례) 또는 권한 있는 서비스·사용자에게 전달 → 고객 환경별 운영·지원  <br>  <br>기업 Data → Azure 보안환경/Portal 권한체계 → 사용자·조직·계층별 접근 범위 설정 → Private GPT/Embedded BI/Brain Portal/Power BI 서비스 → 허용된 데이터만 사용자에게 제공 → 로그/운영관리,unresolved
XA00041,SRC001,41,43,352531d4fba77433b6f5d8b45f512b4bc0dda9dbbffa841c1729ae25f260ba38,Technology Partnership / Certification,글로벌 Vendor Partnership/Certification 확보 → Data/AI/Cloud Platform 전문성·구축 경험 축적 → 고객 환경에 맞는 Platform 선정·설계 → 구축/통합 → Vendor 생태계 기반 기술지원 → Enterprise AX 프로젝트 신뢰도 강화,unresolved
