TechnologyKey,TechnologyId,TechnologyName,CategoryName,ArchitectureLayer,LayerOrder,EvidenceType,SourceId
40,T0040,"Azure Data Factory / ADF (ERP·MES·CRM·POS·HR·Legacy DB 등 다중 원천 수집, 데이터 이동 자동화, 정기 ETL/ELT; OCI·태림포장 수동 수집 자동화 사례)",Data Engineering,Unmapped,,,SRC001
41,T0041,Azure Data Factory → Azure Data Lake Gen2 → Synapse Analytics/Azure SQL/Analysis Service → Power BI/Brain Portal/AI 구조,Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
42,T0042,Azure Data Factory/SSIS를 통한 시스템 간 데이터 수집·이동,Enterprise Integration,Unmapped,,,SRC001
43,T0043,Azure Data Factory·Data Lake Gen2·Synapse Analytics·Azure SQL·Azure Analysis Service 등 Azure Data Platform 구성,Cloud Engineering,Unmapped,,,SRC001
44,T0044,Azure Data Lake Gen2 (ERP·CRM·MES·HR·매출·생산 등 이기종 데이터 중앙집중 저장),Data Storage / Database,Unmapped,,,SRC001
45,T0045,Azure Data Lake Gen2 (분산된 ERP·CRM·MES·HR·매출·생산 데이터 중앙집중 저장),Data Engineering,Unmapped,,,SRC001
46,T0046,Azure Data Platform (ERP·MES·CRM·POS·HR·Legacy DB 데이터를 수집·통합·저장해 BI/AI 분석기반 구축),Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
47,T0047,"Azure Data Platform 실제 업무 (전사 데이터 통합, 경영정보, 생산·재고·HR·수익성 분석)",Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
48,T0048,Azure Data Platform을 통한 데이터 정합성 확보 및 수작업 데이터 수집 제거,Reliability / Human-error Prevention,Unmapped,,,SRC001
49,T0049,"Azure DevOps Pipeline (코드 리뷰, 병렬 개발, 배포 자동화)",DevOps / CI/CD,Unmapped,,,SRC001
50,T0050,Azure Machine Learning / Azure ML (대덕전자 생산수율 예측),Machine Learning,Unmapped,,,SRC001
51,T0051,Azure OpenAI + BXG (자연어 질문 → 의도 파악 → DB/Table/Column 선별 → Query → 전처리 → 계산·분석 → 자연어 답변·그래프),AI / LLM Engineering,Unmapped,,,SRC001
52,T0052,Azure OpenAI + BXG 정형데이터 분석형 생성 AI (자연어 질문을 DB Query·분석·답변·그래프로 연결),Generative AI,Unmapped,,,SRC001
53,T0053,"Azure OpenAI / GPT-4 실제 활용 기능·업무 (자연어 이해, 질의응답, 문서검색, 답변 생성, 출처 기반 정보탐색; 사내 지식검색·문서검색·업무지원·기업데이터 질의)",AI / LLM Engineering,Unmapped,,,SRC001
54,T0054,Azure OpenAI/GPT 문서검색의 검색·탐색시간 감소,Performance Engineering,Unmapped,,,SRC001
55,T0055,"Azure SQL DB (정형 데이터 저장·Query, AI/BI 서비스 Data Backend)",Data Storage / Database,Unmapped,,,SRC001
56,T0056,Azure SQL DB / Cosmos DB (AI·BI 서비스용 정형/비정형 Data Backend),Data Engineering,Unmapped,,,SRC001
57,T0057,"Azure SQL DB / Cosmos DB 기반 AI·BI Data Backend (정형/비정형 데이터 저장·조회, Query, 실시간/분석 데이터 제공)",Backend Engineering,Unmapped,,,SRC001
58,T0058,Azure 기반 서비스 확장 기반,ERP Cloud Transformation,Unmapped,,,SRC001
59,T0059,Azure 및 Cloud 환경 실시간 대응 체계,Cloud Operations / Technical Support,Unmapped,,,SRC001
60,T0060,Azure 보안환경 Private GPT,Cloud Engineering,Unmapped,,,SRC001
61,T0061,Azure 보안환경 Private GPT (삼성물산·동국시스템즈),Generative AI,Unmapped,,,SRC001
62,T0062,BI Capacity/Concurrency Planning (수만 명 사용자 Embedded BI 제공과 밀접하나 구체 Capacity 구성은 자료에 없음),Performance Engineering,Unmapped,,,SRC001
63,T0063,BXG 데이터 분석형 Backend 흐름 (질문 해석 → DB/Table/Column 선택 → Query → 전처리·계산·분석 → 답변/그래프),Backend Engineering,Unmapped,,,SRC001
64,T0064,"BXG의 자연어 질문 의도 파악 단계 (DB/Table/Column 선택 및 Query 이전 단계는 직접 확인되나, 해당 단계가 Prompt Engineering으로 구현됐는지는 자료에서 특정되지 않음)",Prompt Engineering,Unmapped,,,SRC001
65,T0065,"Backend Development (AI 기술, LLM, Cloud)",Backend Engineering,Unmapped,,,SRC001
66,T0066,Backup/DR (기업 데이터 저장계층의 운영 안정성과 밀접하나 자료에 직접 명시되지 않음),Data Storage / Database,Unmapped,,,SRC001
67,T0067,Benchmarking (기존 기술 대비 신규 기술의 효과 비교에 필요),Technical R\&D,Unmapped,,,SRC001
68,T0068,Brain Portal (Enterprise BI Portal: 여러 BI 보고서·데이터·사용자를 통합 관리·배포),BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
69,T0069,Brain Portal AI 기반 검색·요약 및 데이터 관련 문의 채널 통합 (SK텔레콤),Information Retrieval / Search Engineering,Unmapped,,,SRC001
70,T0070,Brain Portal 권한관리·사용자 등록/미등록 사용자 관리·조직/계층별 접근제어·로그 관리,Data Governance,Unmapped,,,SRC001
71,T0071,Brain Portal 데이터 문의 채널 통합,Enterprise Integration,Unmapped,,,SRC001
72,T0072,Brain Portal 보고서 사전검토·로그·권한관리,Reliability / Human-error Prevention,Unmapped,,,SRC001
73,T0073,Brain Portal 사용자별 보고서·모바일 보고·데이터 조회,User-centered / Iterative Development,Unmapped,,,SRC001
74,T0074,"Brain Portal 실제 업무 (사내 데이터 Portal, 경영 Dashboard Portal, 모바일 보고, 사용자별 보고)",BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
75,T0075,Brain Portal 조직/계층별 접근제어·권한관리·사용자 관리·로그 관리,Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
76,T0076,"Brain Portal 확인 효과 (BI 접근성 향상, 보고서 관리 중앙화, Self-Service 환경 확대)",BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
77,T0077,Brain Portal/Embedded BI와 결합해 BI 콘텐츠를 Portal·업무시스템·모바일에 제공,BI / Generative BI,Unmapped,,,SRC001
78,T0078,"Branch 기반 개발 (실험 기능 테스트, 병렬 개발)",DevOps / CI/CD,Unmapped,,,SRC001
79,T0079,CDC/Incremental Load (정기 ETL/ELT·데이터 이동 자동화와 밀접하지만 자료에 직접 명시되지 않음),Data Engineering,Unmapped,,,SRC001
80,T0080,"CI/CD Pipeline (배포 자동화, Cloud)",DevOps / CI/CD,Unmapped,,,SRC001
81,T0081,CV Evaluation Metrics (이상 탐지 정확도 평가 필요),Computer Vision,Unmapped,,,SRC001
82,T0082,Cache/Persist (Spark의 Memory 기반 처리와 직접 연결),Distributed Computing,Unmapped,,,SRC001
83,T0083,Certified Architecture Practice (Specialization/Partner 자격과 밀접하나 내부 표준은 자료에 없음),Technology Partnership / Certification,Unmapped,,,SRC001
84,T0084,Change Management (기술 도입 후 현업 정착·교육과 밀접하나 구체 방법론은 자료에 없음),AI Transformation / AX Consulting,Unmapped,,,SRC001
85,T0085,Citizen Development Governance (현업 중심 Low-code 확산 시 권한·환경·배포 관리와 밀접하나 자료에는 구체 체계가 없음),Low-code Development,Unmapped,,,SRC001
86,T0086,Cloud Compute (Backend·AI 실행 자원),Cloud Engineering,Unmapped,,,SRC001
87,T0087,Cloud Governance (Multi-Cloud 환경의 표준·정책·관리와 밀접하나 구체 체계는 자료에 없음),Cloud Engineering,Unmapped,,,SRC001
88,T0088,Cloud Infrastructure (Backend/AI Deployment),Cloud Engineering,Unmapped,,,SRC001
89,T0089,Cloud Networking (서비스 간 통신),Cloud Engineering,Unmapped,,,SRC001
90,T0090,Cloud Storage (모델·데이터·Artifact 저장),Cloud Engineering,Unmapped,,,SRC001
91,T0091,Cloud 기반 Data Platform Infrastructure (데이터 수집·분석·시각화 및 지속 가능한 AX 전환 지원),Cloud Engineering,Unmapped,,,SRC001
92,T0092,Cloud 중심 Data Integration 사례에서 ADF 기반 정기 데이터 이동·자동화,Cloud Operations / Technical Support,Unmapped,,,SRC001
93,T0093,"Cluster (Spark, Computing Resource, 비용)",Distributed Computing,Unmapped,,,SRC001
94,T0094,Cluster 비용 (Spark),Cost Optimization,Unmapped,,,SRC001
95,T0095,"Code Review (Azure DevOps Pipeline, 협업)",DevOps / CI/CD,Unmapped,,,SRC001
96,T0096,"Compute Resource (Spark, Cluster)",Performance Engineering,Unmapped,,,SRC001
97,T0097,"Computer Vision (Deep Learning, 이상 탐지)",Computer Vision,Unmapped,,,SRC001
98,T0098,"Computer Vision 이상 탐지 교육 (Deep Learning, 개발, 배포)",Technical Education,Unmapped,,,SRC001
99,T0099,Computing Resource 비용 (Spark),Cost Optimization,Unmapped,,,SRC001
100,T0100,Concurrency (여러 I/O 작업을 효율적으로 처리해야 함),Async Programming,Unmapped,,,SRC001
101,T0101,Condition (상황에 따른 분기),Workflow Automation,Unmapped,,,SRC001
102,T0102,Connector (DB·Teams·외부 서비스 연결),Workflow Automation,Unmapped,,,SRC001
103,T0103,Connector/API Integration (Bot과 Backend·DB·업무 시스템 연결),Conversational Application,Unmapped,,,SRC001
104,T0104,Content Approval Workflow (보고서 사전검토·배포와 밀접),BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
105,T0105,Content Lifecycle Governance (보고서 등록·수정·사전검토·공유 절차와 밀접),Data Governance,Unmapped,,,SRC001
106,T0106,Context Management (검색 문서와 질문을 LLM 입력으로 결합해야 함),AI / LLM Engineering,Unmapped,,,SRC001
107,T0107,Conversation Flow (대화 단계 구성에 필요),Conversational Application,Unmapped,,,SRC001
108,T0108,Conversation Memory/Session Context (연속 질의형 Chat Interface와 밀접하지만 자료에 직접 명시되지 않음),Conversational Application,Unmapped,,,SRC001
109,T0109,"Copilot Studio (Power Platform, PVA, 대화형 기능)",Conversational Application,Unmapped,,,SRC001
110,T0110,Copilot Studio (대화형 AI/Power Platform),Generative AI,Unmapped,,,SRC001
111,T0111,Coroutine (Python asyncio 비동기 작업 단위),Async Programming,Unmapped,,,SRC001
112,T0112,"Cosmos DB (정형/비정형 데이터 저장·조회, AI/BI Data Backend)",Data Storage / Database,Unmapped,,,SRC001
113,T0113,Cost Monitoring (Cloud/Cluster 비용을 지속적으로 측정해야 함),Cost Optimization,Unmapped,,,SRC001
114,T0114,DAX/MDX (Measure·다차원 Query와 밀접하지만 자료에 사용 언어는 명시되지 않음),Semantic Modeling / OLAP,Unmapped,,,SRC001
115,T0115,"DB 계층 실제 업무 (AI 데이터 분석, 수익성·경영·게임 데이터)",Data Storage / Database,Unmapped,,,SRC001
116,T0116,DB 계층 역할 (AI/BI 서비스의 데이터 Backend 역할),Data Storage / Database,Unmapped,,,SRC001
117,T0117,Dashboard/Report Design (BI 시각화·사용성 구현과 밀접하나 구체 화면 설계는 자료에 없음),BI / Generative BI,Unmapped,,,SRC001
118,T0118,"Data & AI 통합 연계 (데이터와 AI를 하나의 흐름으로 연결, AI를 위한 데이터 환경까지 통합 설계)",Enterprise Integration,Unmapped,,,SRC001
119,T0119,Data Catalog (Governance에서 Data Asset을 탐색·관리하는 기능과 밀접하나 제품은 자료에 없음),Data Governance,Unmapped,,,SRC001
120,T0120,Data Governance (실시간 분석과 함께 End-to-End Roadmap에 포함),Data Governance,Unmapped,,,SRC001
121,T0121,Data Lake / Data Warehouse (Azure Data Platform의 저장·통합 계층),Data Storage / Database,Unmapped,,,SRC001
122,T0122,"Data Lake, Data Warehouse, Data Mart, 통합 데이터 모델",Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
123,T0123,Data Lake/Lakehouse/Data Warehouse (Databricks·Snowflake·Fabric 기반 Data Platform Architecture와 밀접하나 구체 구성은 자료에 없음),Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
124,T0124,Data Lineage (데이터 흐름·변환 이력 추적과 밀접하나 자료에 직접 명시되지 않음),Data Governance,Unmapped,,,SRC001
125,T0125,Data Loading (Spark),Data Engineering,Unmapped,,,SRC001
126,T0126,Data Mapping (이기종 Source 간 필드·Schema 대응에 필요),Data Integration / ETL,Unmapped,,,SRC001
127,T0127,Data Mart (Synapse 기반 BI용 분석 구조),Semantic Modeling / OLAP,Unmapped,,,SRC001
128,T0128,Data Minimization (자료에서 실제로 불필요한 개인정보를 제거함),Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
129,T0129,Data Observability (전사 Data Platform의 상태·품질 모니터링과 밀접하나 자료에 직접 명시되지 않음),Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
130,T0130,Data Orchestration (수집부터 분석까지의 반복 데이터 흐름을 관리하는 계층과 밀접하나 구체 도구는 자료에 없음),Data Engineering,Unmapped,,,SRC001
131,T0131,Data Pipeline/Orchestration (수집부터 분석까지의 흐름을 자동화·관리하는 계층과 밀접),Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
132,T0132,Data Platform (데이터 수집부터 분석·시각화까지 비즈니스 맞춤형 Platform 구현),Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
133,T0133,Data Platform ↔ Microsoft Azure OpenAI ↔ BI/Power Platform 연계 (기업 업무 환경의 End-to-End 통합),Enterprise Integration,Unmapped,,,SRC001
134,T0134,Data Quality Rules (전사 Data 활용의 신뢰성과 밀접),Data Governance,Unmapped,,,SRC001
135,T0135,Data Quality Validation (모델 및 분석 전 데이터 정상성 검증과 밀접),Data Engineering,Unmapped,,,SRC001
136,T0136,Data Reconciliation (수작업 수집 제거와 데이터 정합성 확보 효과를 지속 검증하는 방식과 밀접),Data Engineering,Unmapped,,,SRC001
137,T0137,Data Schema (SQL·Spark 데이터 처리에 필수적인 구조 개념),Data Engineering,Unmapped,,,SRC001
138,T0138,Data Skew (분산처리 성능 저하의 대표 원인),Distributed Computing,Unmapped,,,SRC001
139,T0139,Data Transformation (DB 데이터를 사용자 메시지로 변환),Enterprise Integration,Unmapped,,,SRC001
140,T0140,Data Validation/Reconciliation Controls (정합성 확보·오류 감소를 유지하기 위한 검증 통제와 밀접),Reliability / Human-error Prevention,Unmapped,,,SRC001
141,T0141,Data Visualization (Data Platform의 수집·분석 이후 시각화),BI / Generative BI,Unmapped,,,SRC001
142,T0142,"Data-connected Generative AI (AI를 위한 데이터 환경 통합 설계, Data Platform과 생성형 AI 연결)",Generative AI,Unmapped,,,SRC001
143,T0143,Data-driven Decision Making (누구나 쉽게 활용 가능한 BI로 의사결정 가속),BI / Generative BI,Unmapped,,,SRC001
144,T0144,Database Connection Pooling (AI/BI Backend의 반복 Query 처리와 밀접하나 자료에 직접 명시되지 않음),Backend Engineering,Unmapped,,,SRC001
145,T0145,Database Query (사내 DB 데이터 추출에 필요),Enterprise Integration,Unmapped,,,SRC001
146,T0146,"Databricks (Multi-Cloud Data Platform, 구축 경험)",Data Platform / Analytics Infrastructure,Unmapped,,,SRC001
147,T0147,"Databricks (Spark, 데이터 처리, AI 모델 개발)",Data Engineering,Unmapped,,,SRC001
148,T0148,Databricks 공식 Partnership 기반 구축 경험,Technology Partnership / Certification,Unmapped,,,SRC001
149,T0149,Databricks 교육 (Spark 데이터 처리),Technical Education,Unmapped,,,SRC001
150,T0150,Databricks 기반 분산 Data Processing (기존 Spark 처리와 메인페이지의 Databricks Data Platform을 연결),Distributed Computing,Unmapped,,,SRC001
151,T0151,"Deep Learning (AI 기술, Computer Vision, 이상 탐지)",Deep Learning,Unmapped,,,SRC001
152,T0152,Document Chunking (긴 문서를 검색 가능한 단위로 분할해야 함),Information Retrieval / Search Engineering,Unmapped,,,SRC001
153,T0153,Document Parsing (문서를 검색 가능한 텍스트/구조로 변환해야 함),Information Retrieval / Search Engineering,Unmapped,,,SRC001
154,T0154,Domain Model (Mendix Application의 Data 구조와 밀접),Low-code Development,Unmapped,,,SRC001
155,T0155,Driver (Spark Application 제어),Distributed Computing,Unmapped,,,SRC001
156,T0156,ERP Cloud Transformation·글로벌 프로세스 표준화,ERP Cloud Transformation,Unmapped,,,SRC001
157,T0157,ERP Data Migration (On-Premise→Cloud 전환에 필요하지만 상세 방식은 자료에 없음),ERP Cloud Transformation,Unmapped,,,SRC001
158,T0158,ERP Fit-to-Standard / Process Harmonization (글로벌 표준화와 밀접하지만 구체 SAP 방법론은 자료에 없음),ERP Cloud Transformation,Unmapped,,,SRC001
159,T0159,ERP/Application Operations (Cloud ERP 운영과 밀접하지만 운영 조직·도구는 자료에 명시되지 않음),Cloud Operations / Technical Support,Unmapped,,,SRC001
160,T0160,"ETL/ELT (Extract·Transform·Load, 분석 데이터 공급)",Data Integration / ETL,Unmapped,,,SRC001
161,T0161,ETL/ELT (자료의 Loading·Transformation·Processing 흐름을 포괄하는 데이터 처리 구조),Data Engineering,Unmapped,,,SRC001
162,T0162,Embedded BI (기존 업무시스템/Portal/App 내부에 BI 삽입; 사내·판매원·협력사·외부·글로벌 사용자),BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
163,T0163,Embedded BI 권한 통제 (한국암웨이: 본인 실적과 하위 조직 실적만 조회),Privacy / Enterprise Security / Data Handling,Unmapped,,,SRC001
164,T0164,Embedded BI 사용자별 권한 제어 (한국암웨이: 본인 실적·하위 조직 실적 범위 통제),Data Governance,Unmapped,,,SRC001
165,T0165,"Embedded BI 핵심 기능 (Embedded Dashboard, 사용자별 화면, 권한 제어)",BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
166,T0166,"Embedded BI 확인 효과 (대규모 사용자에게 BI 제공, 별도 BI 접속 없이 업무시스템 안에서 분석)",BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
167,T0167,Embedded BI로 협력사·판매원·외부/글로벌 사용자에게 기존 업무시스템 안에서 분석 제공,User-centered / Iterative Development,Unmapped,,,SRC001
168,T0168,Embedded BI의 대규모 사용자 제공 (한국암웨이 수만 명 판매사 동시 분석환경),Performance Engineering,Unmapped,,,SRC001
169,T0169,Embedding Model (RAG·Vector DB에서 문서와 Query를 Vector화하기 위해 필요),AI / LLM Engineering,Unmapped,,,SRC001
170,T0170,Embedding SDK/API (업무시스템 내부 BI 삽입과 밀접하지만 구체 SDK는 자료에 없음),BI Delivery / Portal / Embedded BI,Unmapped,,,SRC001
171,T0171,"End-to-End AX Consulting (기업 맞춤형, Data·AI·BI·Low-code/Automation을 연결하는 전환 지원)",AI Transformation / AX Consulting,Unmapped,,,SRC001
172,T0172,End-to-End Data/AI Roadmap (Data Platform부터 Analytics/AI까지 Governance 포함),Data Governance,Unmapped,,,SRC001
173,T0173,Enterprise AI Governance (기업용 생성형 AI의 사용 정책·출력 통제와 밀접하나 구체 정책은 자료에 없음),Generative AI,Unmapped,,,SRC001
174,T0174,"Enterprise Architecture Layering (성취 자료에서 7개 역할층이 관찰됨: 데이터 수집, 저장·통합, 분석 기반, BI, AI, 사용자 서비스, 업무 자동화)",AI Transformation / AX Consulting,Unmapped,,,SRC001
175,T0175,Enterprise Architecture 적용 흐름 (업무 시스템/원천 데이터 → Data Integration → 저장·통합 → 분석 Data Platform → BI·AI → 사용자 서비스 → 업무 자동화),AI Transformation / AX Consulting,Unmapped,,,SRC001
176,T0176,Enterprise Grounding (기업 Data Platform의 데이터를 생성형 AI에 안전하고 일관되게 연결하는 구조와 밀접하나 구체 구현은 자료에 없음),AI / LLM Engineering,Unmapped,,,SRC001
177,T0177,Enterprise Search Federation (Brain Portal의 데이터 문의 채널 통합·AI 검색과 밀접하나 구체 검색엔진 구조는 자료에 없음),Information Retrieval / Search Engineering,Unmapped,,,SRC001
178,T0178,Enterprise Service Bus/iPaaS (다수 업무 시스템과 Cloud/Portal/App을 통합하는 구조와 밀접하지만 자료에 특정 제품은 없음),Enterprise Integration,Unmapped,,,SRC001
179,T0179,Enterprise Source Integration (ERP·MES·CRM·POS·SAP·HR·Excel·Legacy DB·문서),Enterprise Integration,Unmapped,,,SRC001
180,T0180,Error Handling (자동화가 실패해도 전체 업무가 중단되지 않도록 필요),Reliability / Human-error Prevention,Unmapped,,,SRC001
181,T0181,Escalation/Partner Support Channel (Vendor Partnership 기반 기술지원 시 활용 가능성이 높지만 실제 운영 방식은 자료에 없음),Technology Partnership / Certification,Unmapped,,,SRC001
182,T0182,Evaluation Dataset (Prompt 변경 전후 품질 비교에 필요),Prompt Engineering,Unmapped,,,SRC001
183,T0183,Evaluation Metrics (최적화 여부 판단 필요),Machine Learning,Unmapped,,,SRC001
184,T0184,Event Loop (asyncio 실행의 핵심 구조),Async Programming,Unmapped,,,SRC001
185,T0185,Executor (Spark 연산 및 Memory 사용 단위),Distributed Computing,Unmapped,,,SRC001
186,T0186,Experiment Tracking (MLflow의 모델 실험 관리와 직접 연결),MLOps,Unmapped,,,SRC001
187,T0187,False Positive/Negative Evaluation (이상 탐지 시스템 품질 판단에 필요),Anomaly Detection,Unmapped,,,SRC001
188,T0188,"FastAPI (Python, Backend, 비동기 처리)",Backend Engineering,Unmapped,,,SRC001
189,T0189,Feature Flag (실험 기능을 제한적으로 제공·검증하는 방식과 밀접),User-centered / Iterative Development,Unmapped,,,SRC001
190,T0190,"Feature Importance/Correlation Analysis (자료에서 영향 인자·변수 연관도 분석이 직접 확인되며, 구체 알고리즘은 명시되지 않음)",Machine Learning,Unmapped,,,SRC001
191,T0191,Feature/Data Preprocessing (모델 입력 데이터 준비에 직접 연결),Machine Learning,Unmapped,,,SRC001
192,T0192,Filtering (Spark),Data Engineering,Unmapped,,,SRC001
193,T0193,FinOps (Cloud 비용 가시화·최적화·운영 체계와 직접 밀접하나 자료에는 용어 자체가 명시되지 않음),Cost Optimization,Unmapped,,,SRC001
194,T0194,FinOps (Cloud 비용 최적화·절감 Consulting과 밀접하나 용어는 직접 명시되지 않음),Cloud Operations / Technical Support,Unmapped,,,SRC001
195,T0195,"GPT-4 (기아: 방대한 사내 자료 검색용 챗봇, Microsoft Teams 내 제공, 시나리오 기준 답변 정확도 80% 이상 향상)",AI / LLM Engineering,Unmapped,,,SRC001
196,T0196,GPT-4 기반 Microsoft Teams 챗봇 (기아 사내 문서검색),Conversational Application,Unmapped,,,SRC001
197,T0197,GPT-4 기반 문서·지식 검색형 생성 AI (기아 Teams 챗봇),Generative AI,Unmapped,,,SRC001
198,T0198,GPU Computing (딥러닝 학습·추론과 밀접하나 자료에는 Hardware가 명시되지 않음),Deep Learning,Unmapped,,,SRC001
199,T0199,"Generative BI (생성형 AI 기반 분석, 자연어로 Insight 도출)",Generative AI,Unmapped,,,SRC001
200,T0200,Generative BI (생성형 AI 기반 직관적 분석 환경),BI / Generative BI,Unmapped,,,SRC001
201,T0201,Git (Branch·Code Review·Parallel Development를 수행하는 대표 Version Control),DevOps / CI/CD,Unmapped,,,SRC001
202,T0202,Guardrails (기업용 생성형 AI 출력 제어와 밀접),Generative AI,Unmapped,,,SRC001
203,T0203,HTML/CSS (Custom UI 표현),Custom Low-code Extension,Unmapped,,,SRC001
204,T0204,HTTP/HTTPS (FastAPI·OpenAI 등 API 통신 기반),Backend Engineering,Unmapped,,,SRC001
205,T0205,Hands-on Lab Environment (실습 중심 강의 운영에 필요),Technical Education,Unmapped,,,SRC001
