TechnologyId,TechnologyName
T0133,Data Platform ↔ Microsoft Azure OpenAI ↔ BI/Power Platform 연계 (기업 업무 환경의 End-to-End 통합)
T0134,Data Quality Rules (전사 Data 활용의 신뢰성과 밀접)
T0135,Data Quality Validation (모델 및 분석 전 데이터 정상성 검증과 밀접)
T0136,Data Reconciliation (수작업 수집 제거와 데이터 정합성 확보 효과를 지속 검증하는 방식과 밀접)
T0137,Data Schema (SQL·Spark 데이터 처리에 필수적인 구조 개념)
T0138,Data Skew (분산처리 성능 저하의 대표 원인)
T0139,Data Transformation (DB 데이터를 사용자 메시지로 변환)
T0140,Data Validation/Reconciliation Controls (정합성 확보·오류 감소를 유지하기 위한 검증 통제와 밀접)
T0141,Data Visualization (Data Platform의 수집·분석 이후 시각화)
T0142,"Data-connected Generative AI (AI를 위한 데이터 환경 통합 설계, Data Platform과 생성형 AI 연결)"
T0143,Data-driven Decision Making (누구나 쉽게 활용 가능한 BI로 의사결정 가속)
T0144,Database Connection Pooling (AI/BI Backend의 반복 Query 처리와 밀접하나 자료에 직접 명시되지 않음)
T0145,Database Query (사내 DB 데이터 추출에 필요)
T0146,"Databricks (Multi-Cloud Data Platform, 구축 경험)"
T0147,"Databricks (Spark, 데이터 처리, AI 모델 개발)"
T0148,Databricks 공식 Partnership 기반 구축 경험
T0149,Databricks 교육 (Spark 데이터 처리)
T0150,Databricks 기반 분산 Data Processing (기존 Spark 처리와 메인페이지의 Databricks Data Platform을 연결)
T0151,"Deep Learning (AI 기술, Computer Vision, 이상 탐지)"
T0152,Document Chunking (긴 문서를 검색 가능한 단위로 분할해야 함)
T0153,Document Parsing (문서를 검색 가능한 텍스트/구조로 변환해야 함)
T0154,Domain Model (Mendix Application의 Data 구조와 밀접)
T0155,Driver (Spark Application 제어)
T0156,ERP Cloud Transformation·글로벌 프로세스 표준화
T0157,ERP Data Migration (On-Premise→Cloud 전환에 필요하지만 상세 방식은 자료에 없음)
T0158,ERP Fit-to-Standard / Process Harmonization (글로벌 표준화와 밀접하지만 구체 SAP 방법론은 자료에 없음)
T0159,ERP/Application Operations (Cloud ERP 운영과 밀접하지만 운영 조직·도구는 자료에 명시되지 않음)
T0160,"ETL/ELT (Extract·Transform·Load, 분석 데이터 공급)"
T0161,ETL/ELT (자료의 Loading·Transformation·Processing 흐름을 포괄하는 데이터 처리 구조)
T0162,Embedded BI (기존 업무시스템/Portal/App 내부에 BI 삽입; 사내·판매원·협력사·외부·글로벌 사용자)
T0163,Embedded BI 권한 통제 (한국암웨이: 본인 실적과 하위 조직 실적만 조회)
T0164,Embedded BI 사용자별 권한 제어 (한국암웨이: 본인 실적·하위 조직 실적 범위 통제)
T0165,"Embedded BI 핵심 기능 (Embedded Dashboard, 사용자별 화면, 권한 제어)"
T0166,"Embedded BI 확인 효과 (대규모 사용자에게 BI 제공, 별도 BI 접속 없이 업무시스템 안에서 분석)"
T0167,Embedded BI로 협력사·판매원·외부/글로벌 사용자에게 기존 업무시스템 안에서 분석 제공
T0168,Embedded BI의 대규모 사용자 제공 (한국암웨이 수만 명 판매사 동시 분석환경)
T0169,Embedding Model (RAG·Vector DB에서 문서와 Query를 Vector화하기 위해 필요)
T0170,Embedding SDK/API (업무시스템 내부 BI 삽입과 밀접하지만 구체 SDK는 자료에 없음)
T0171,"End-to-End AX Consulting (기업 맞춤형, Data·AI·BI·Low-code/Automation을 연결하는 전환 지원)"
T0172,End-to-End Data/AI Roadmap (Data Platform부터 Analytics/AI까지 Governance 포함)
T0173,Enterprise AI Governance (기업용 생성형 AI의 사용 정책·출력 통제와 밀접하나 구체 정책은 자료에 없음)
T0174,"Enterprise Architecture Layering (성취 자료에서 7개 역할층이 관찰됨: 데이터 수집, 저장·통합, 분석 기반, BI, AI, 사용자 서비스, 업무 자동화)"
T0175,Enterprise Architecture 적용 흐름 (업무 시스템/원천 데이터 → Data Integration → 저장·통합 → 분석 Data Platform → BI·AI → 사용자 서비스 → 업무 자동화)
T0176,Enterprise Grounding (기업 Data Platform의 데이터를 생성형 AI에 안전하고 일관되게 연결하는 구조와 밀접하나 구체 구현은 자료에 없음)
T0177,Enterprise Search Federation (Brain Portal의 데이터 문의 채널 통합·AI 검색과 밀접하나 구체 검색엔진 구조는 자료에 없음)
T0178,Enterprise Service Bus/iPaaS (다수 업무 시스템과 Cloud/Portal/App을 통합하는 구조와 밀접하지만 자료에 특정 제품은 없음)
T0179,Enterprise Source Integration (ERP·MES·CRM·POS·SAP·HR·Excel·Legacy DB·문서)
T0180,Error Handling (자동화가 실패해도 전체 업무가 중단되지 않도록 필요)
T0181,Escalation/Partner Support Channel (Vendor Partnership 기반 기술지원 시 활용 가능성이 높지만 실제 운영 방식은 자료에 없음)
T0182,Evaluation Dataset (Prompt 변경 전후 품질 비교에 필요)
T0183,Evaluation Metrics (최적화 여부 판단 필요)
T0184,Event Loop (asyncio 실행의 핵심 구조)
T0185,Executor (Spark 연산 및 Memory 사용 단위)
T0186,Experiment Tracking (MLflow의 모델 실험 관리와 직접 연결)
T0187,False Positive/Negative Evaluation (이상 탐지 시스템 품질 판단에 필요)
T0188,"FastAPI (Python, Backend, 비동기 처리)"
T0189,Feature Flag (실험 기능을 제한적으로 제공·검증하는 방식과 밀접)
T0190,"Feature Importance/Correlation Analysis (자료에서 영향 인자·변수 연관도 분석이 직접 확인되며, 구체 알고리즘은 명시되지 않음)"
T0191,Feature/Data Preprocessing (모델 입력 데이터 준비에 직접 연결)
T0192,Filtering (Spark)
T0193,FinOps (Cloud 비용 가시화·최적화·운영 체계와 직접 밀접하나 자료에는 용어 자체가 명시되지 않음)
T0194,FinOps (Cloud 비용 최적화·절감 Consulting과 밀접하나 용어는 직접 명시되지 않음)
T0195,"GPT-4 (기아: 방대한 사내 자료 검색용 챗봇, Microsoft Teams 내 제공, 시나리오 기준 답변 정확도 80% 이상 향상)"
T0196,GPT-4 기반 Microsoft Teams 챗봇 (기아 사내 문서검색)
T0197,GPT-4 기반 문서·지식 검색형 생성 AI (기아 Teams 챗봇)
T0198,GPU Computing (딥러닝 학습·추론과 밀접하나 자료에는 Hardware가 명시되지 않음)
T0199,"Generative BI (생성형 AI 기반 분석, 자연어로 Insight 도출)"
T0200,Generative BI (생성형 AI 기반 직관적 분석 환경)
T0201,Git (Branch·Code Review·Parallel Development를 수행하는 대표 Version Control)
T0202,Guardrails (기업용 생성형 AI 출력 제어와 밀접)
T0203,HTML/CSS (Custom UI 표현)
T0204,HTTP/HTTPS (FastAPI·OpenAI 등 API 통신 기반)
T0205,Hands-on Lab Environment (실습 중심 강의 운영에 필요)
T0206,"HoloLens (MR, 미래 UX)"
T0207,Hybrid Connectivity (On-Premise ERP/Legacy와 Azure Cloud Data Platform을 연결하는 네트워크·통합 방식과 밀접하나 구체 기술은 자료에 없음)
T0208,Hyperparameter Tuning (모델 최적화와 밀접)
T0209,IAM (Cloud Resource 접근 제어)
T0210,"Image (MR Content, Meta-Solution)"
T0211,Image Dataset Management (학습·검증용 이미지 관리 필요)
T0212,Image Preprocessing (CV 입력 데이터 준비에 필요)
T0213,Incident Management (장애 대응 절차·담당자 관리와 밀접)
T0214,Incident Management (장애 대응 절차·상태·담당자 관리를 위한 체계와 밀접하나 구체 방식은 자료에 없음)
T0215,Incremental Load/CDC (반복 데이터 이동 효율화와 밀접하나 자료에 직접 명시되지 않음)
T0216,Inference (개발된 모델을 실제 배포 환경에서 실행해야 함)
T0217,Integration Architecture (Data·AI·BI·Low-code를 End-to-End로 연결하기 위한 통합 설계와 밀접)
T0218,Intent Classification (질문 의도를 처리경로에 연결하는 구조와 밀접; Brain Portal에는 요청 유형 자동분류가 직접 확인되나 LLM Prompt 구현 여부는 자료에 없음)
T0219,Interaction Design (사용자가 MR Object를 선택·조작해야 함)
T0220,JSON (API 데이터 교환에 일반적으로 필요)
T0221,KPI/Metric Layer (데이터 기반 의사결정을 위한 일관된 지표 정의와 밀접)
T0222,KPI/ROI Measurement (비즈니스 성과를 확인하기 위한 지표 관리와 밀접하나 구체 지표는 자료에 없음)
T0223,LG전자 정형데이터 자연어 분석 업무 생산성 30% 이상 향상
T0224,"LLM (OpenAI API, OpenAI LLM, RAG, Agentic RAG, Prompt Engineering, 질문 전처리, 응답 후처리, Parameter Tuning, Token, Latency)"
T0225,"LLM (OpenAI, RAG, Prompt Engineering)"
T0226,LLM Evaluation (자료에서 응답 정확도·품질 개선을 반복하므로 비교 평가 필요)
T0227,"LLM 응답 후처리 (출력 품질, 사용자 응답)"
T0228,Lakehouse/Data Warehouse Architecture (Databricks·Snowflake·Fabric 기반 Data Platform 구성과 밀접하지만 구체 Architecture는 자료에 없음)
T0229,"Latency (LLM, Backend, asyncio)"
T0230,"Latency (비동기 여부, LLM 서비스)"
T0231,Learning Path/Curriculum Management (정기·고객 맞춤형 교육을 체계적으로 운영하는 데 밀접하나 구체 시스템은 자료에 없음)
T0232,Load Testing (Backend 처리 성능 검증과 밀접)
T0233,Logging/Monitoring (운영 상태 파악)
T0234,"Low-code (Power Apps, Mendix)"
T0235,"MLOps (AI 모델 개발·배포, Azure/AWS)"
T0236,"MLflow (Model Optimization, Deployment Strategy)"
T0237,"MLflow 교육 (Model Optimization, Deployment)"
T0238,"Machine Learning (AI 솔루션 개발, 모델 개발, 향후 교육)"
T0239,Masking (일부 개인정보를 표시해야 할 경우 대안)
T0240,Medallion/Lakehouse Layering (Data Lake·Data Warehouse·Data Mart를 계층적으로 운영하는 대표 방식과 밀접하지만 성취 자료에는 구체 패턴이 명시되지 않음)
T0241,"Memory Management (Spark, Memory Overflow)"
T0242,"Memory Overflow (Spark 성능 문제, Cluster 비용)"
T0243,Mendix (Low-code 기술)
T0244,Meta-Call / Meta-Flow / MR Medical / MR Share (MR Solution 계열)
T0245,"Meta-Solution (MR, Text, Image, 3D Model, 자료 공유)"
T0246,Metadata Filtering (문서 범위를 제한해 검색 정확도를 높이는 데 밀접)
T0247,Metadata Management (Governance 운영에 필요한 핵심 영역)
T0248,Metrics (개선 전후 비교 필요)
T0249,Microflow (Mendix Business Logic 구현에 밀접)
T0250,Microsoft 2024 Data & AI Top Partner 선정
T0251,Microsoft Azure OpenAI (Azure 기반 Generative AI 연계)
T0252,"Microsoft Azure OpenAI (Azure 기반 생성형 AI 연계, 기업 Data/AI 환경, Data Platform과의 연결 가능)"
T0253,"Microsoft Azure OpenAI (생성형 AI 연계, Azure 기반 기업용 AI 환경)"
T0254,Microsoft Fabric (Data Platform 구성 요소; Databricks·Snowflake와 함께 Multi-Cloud 환경 제공 맥락에서 제시)
T0255,"Microsoft Fabric (Data Platform, 데이터 분석·BI 연계; 메인페이지에서는 Databricks·Snowflake와 함께 Multi-Cloud 환경 제공 구성으로 제시)"
T0256,"Microsoft Fabric 연계 Data/BI 환경 (메인페이지의 Data Platform 축에서 직접 제시되며, Multi-Cloud는 개별 Fabric 속성이 아니라 회사의 환경 제공 맥락)"
T0257,Microsoft Power BI (Data & AI Platform의 BI/시각화 축)
T0258,"Microsoft Power Platform (Power Apps, Power Automate, Copilot Studio/PVA, PCF)"
T0259,Microsoft Solutions Partner 3개 분야 자격 보유
T0260,Microsoft Specialization: Analytics on Azure 인증
T0261,"Microsoft Teams (업무 자동화, AI Chatbot, Notification)"
T0262,Microsoft·Databricks·Snowflake 글로벌 Cloud/Data Platform Partnership 기반 기술지원 체계
T0263,"Mixed Reality / MR (HoloLens, 현실·가상 융합, Meta-Solution)"
T0264,Model Artifact (학습 결과 저장)
T0265,"Model Deployment (MLflow, AI Model)"
T0266,"Model Deployment (MLflow, AI 모델, Databricks/Spark 데이터 처리)"
T0267,Model Evaluation Metric (모델 최적화 판단에 필요)
T0268,Model Monitoring (배포 이후 모델 성능 확인)
T0269,Model Optimization (MLflow)
T0270,"Model Optimization (MLflow, AI 모델, 성능)"
T0271,"Model Optimization (MLflow, 배포)"
T0272,Model Registry (모델 버전·배포 관리)
T0273,Model Versioning (최적화·배포 이력 관리)
T0274,Monitoring/Observability (실시간 대응과 운영 리포트 생성을 위해 밀접하나 구체 도구는 자료에 없음)
T0275,Multi-Cloud Infrastructure (지속 가능한 AX 전환 지원)
T0276,"Multi-Cloud 환경 제공 (Databricks, Snowflake, Microsoft Fabric 등을 활용하는 Data/AI Platform 제공 맥락)"
T0277,Natural Language to Query/NL2SQL (자연어로 Data Insight를 얻는 구현 방식 중 하나이나 구체 방식은 자료에 없음)
T0278,Node.js/npm (PCF 개발 Toolchain·Dependency 관리와 밀접)
T0279,Notification Service (자동 공지·알림 구현)
T0280,Offline/Mobile Field App Pattern (건설현장 HSE·현업 App과 밀접하지만 오프라인 기능 여부는 자료에 없음)
T0281,"OpenAI API (LLM 연동, Prompt 구조 설계, 응답 최적화, Token·Latency 고려)"
T0282,"OpenAI LLM (Teams AI 챗봇, 사내 문서 Q\&A, 미국 주식 차트 분석)"
T0283,OpenAI LLM 연동 (Teams Chatbot)
T0284,"PCF (Power Apps, Custom Development)"
T0285,PII Detection (개인정보 포함 여부 식별과 밀접)
T0286,PVA (대화형 Bot)
T0287,"PVA / Power Virtual Agents (Power Platform, Bot)"
T0288,"Paginated/정형 Report (정해진 형식, 표 중심, 정기 보고서, 출력 중심)"
T0289,"Parameter Tuning (정확도, 응답 품질)"
T0290,Partitioning (Spark 분산처리 단위)
T0291,Persona/Role-based UX (사용자별 보고서·판매원/협력사/현업 등 역할별 제공방식과 밀접하지만 명시적 UX 방법론은 자료에 없음)
T0292,Pipeline Scheduling (정기 ETL/ELT 실행과 밀접)
T0293,PoC (신규 기술의 실무 적용 가능성을 검증하는 방식과 직접 연결)
T0294,PoC/Pilot (기업 규모·도입 목적에 맞춘 단계적 검증과 밀접하나 메인페이지에는 직접 명시되지 않음)
T0295,"Power Apps (Low-code, PCF)"
T0296,"Power Apps (현업 업무용 Low-Code Application, 건설현장 HSE Platform, 사용자 친화적 업무 UI, 현업용 업무 App)"
T0297,"Power Apps PCF 개발 (Power Platform, Low-code 확장)"
T0298,Power Apps 사용자 친화적 현업 UI
T0299,Power Apps와 결합한 현장/일일보고/승인 프로세스
T0300,"Power Automate (Power Platform, Workflow)"
T0301,"Power Automate (승인 프로세스, 반복업무, Workflow 자동화)"
T0302,"Power BI (Excel·PPT 수작업 보고를 자동 Dashboard로 전환, Dashboard·KPI·시각화·Drill-down·Self-Service BI·예측결과 표현)"
T0303,Power BI Mobile / Teams 사용자 접점
T0304,"Power BI 실제 분석영역: 경영(전사/법인 실적, 계획 대비 실적), 재무·수익성(연결손익, 프로젝트/제품 수익성, 영업이익률, 매출차이), 생산(가동률, 수율, 제조원가, 생산계획), 품질(KPI, 글로벌 품질지표, Risk), 물류(Domestic/Import/Export, 물류비, 긴급물류비, 환율·수량·단가 차이), 영업·판매(POS·온/오프라인·매장별 판매, 수주잔량, Rolling Plan, Forecast), HR(구성원, 입퇴사, 휴가, 근로시간, 인건비, 평가), 고객·CRM(방문패턴, 객실선호, 서비스 이용, 판매원 실적), 게임(DAU, BU, 복귀율, 프로젝트 수익성)"
T0305,Power BI 전환을 통한 수작업 보고 데이터 오류 감소
T0306,Power BI/Brain Portal/Embedded BI/Teams/Power BI Mobile 사용자 접점 통합
T0307,Power BI의 분석 자동화와 구별되는 '업무행위 자체의 자동화'
T0308,Power Platform CLI (PCF Build/Deploy Workflow와 밀접)
T0309,"Power Platform 기반 반복 업무 자동화 (Low-Code, 앱 개발과 결합, 현업 중심 빠른 구현)"
T0310,"Power Platform 기반 반복 업무 자동화 + 앱 개발 (현업 중심의 빠른 구현, AX 전환 속도 향상)"
T0311,Power Platform 및 Azure 기반 서비스 확장
T0312,Power Platform 반복업무 자동화를 통한 수작업 감소
T0313,Power Platform 적용 업무: 현장업무·HSE·일일보고·승인업무
T0314,Power Platform을 결합한 현장업무 프로세스 개선
T0315,Print/PDF Export (출력 중심 Reporting과 밀접하나 구체 포맷은 자료에 없음)
T0316,Private AI Deployment Pattern (Azure 보안환경 내부에서 기업 전용 GPT를 운영하는 배치·접근통제 패턴과 밀접하나 상세 Network/Endpoint 구성은 자료에 없음)
T0317,Private GPT (삼성물산·동국시스템즈: Azure 보안환경 내부 통합 GPT)
T0318,Private 통합 GPT (삼성물산·동국시스템즈)
T0319,Private 통합 GPT의 기업 내부 검색
T0320,Product Analytics (기능별 사용성과 개선 포인트 파악)
T0321,Profiling (성능 병목 지점을 찾기 위해 필요)
T0322,"Prompt Engineering (LLM, RAG, 출력 품질, Parameter Tuning)"
T0323,Prompt Template (반복 가능한 Prompt 구조 관리에 필요)
